FG,H,PP,RA,SLP,SN,T,TM,TS,Tm,V,VG,VM,VV,altitud,continente,dia,estacion,idEstacion,latitud,longitud,mes,pais,year
-,-,0,-,1009.4,-,28.2,29.8,-,27.1,4.3,-,11.1,-,0,Oceanía,1, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1009.6,-,28.5,29.7,-,27.1,7,-,13,-,0,Oceanía,2, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1009.6,-,28.8,30.2,-,27.7,10,-,16.5,-,0,Oceanía,3, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1006.0,-,28.4,29.4,-,27.5,13.1,-,18.3,-,0,Oceanía,1, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1008.3,-,27.8,29.2,-,25.2,6.1,-,13,-,0,Oceanía,1, NAURU,,-0.5,166.91,Noviembre,Nauru,2000
-,-,0,-,1006.2,-,28,29.4,-,25.6,15.2,-,24.1,-,0,Oceanía,1, NAURU,,-0.5,166.91,Mayo,Nauru,2000
-,-,0,-,1007.6,-,28.8,30.4,-,27.6,10.7,-,16.5,-,0,Oceanía,1, NAURU,,-0.5,166.91,Octubre,Nauru,2000
-,-,0,-,1006.8,-,27.8,30.1,-,26.1,8.3,-,14.8,-,0,Oceanía,1, NAURU,,-0.5,166.91,Junio,Nauru,2000
-,-,0,-,1006.7,-,28.4,30.1,-,27.1,8.3,-,14.8,-,0,Oceanía,1, NAURU,,-0.5,166.91,Julio,Nauru,2000
-,-,0,-,1007.9,-,28.6,30.3,-,27.6,8,-,18.3,-,0,Oceanía,1, NAURU,,-0.5,166.91,Agosto,Nauru,2000
-,-,0,-,1008.8,-,28.7,30,-,27.5,9.3,-,18.3,-,0,Oceanía,4, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1008.6,-,28.6,29.9,-,26.6,6.9,-,14.8,-,0,Oceanía,5, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1009.1,-,27.6,29.7,-,26.5,7,-,14.8,-,0,Oceanía,6, NAURU,,-0.5,166.91,Septiembre,Nauru,2000
-,-,0,-,1005.9,-,28.2,29.5,-,27.1,11.9,-,22.2,-,0,Oceanía,2, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
-,-,0,-,1006.5,-,28.2,29.8,-,26.7,7.4,-,13,-,0,Oceanía,3, NAURU,,-0.5,166.91,Diciembre,Nauru,2000
