dirViento,fecha,horaPresMax,horaPresMin,horaRachaMax,horaTempMax,horaTempMin,horasSol,indicativo,precipitacion,presMax,presMin,rachaMax,tempMax,tempMin,velMedia
,2019-01-15 00:00:00,,,,,,,6367B,0.0 , , , , , ,1.4 
29,2019-01-22 00:00:00,00,22,19:10,16:40,01:00,,6367B,0.0 ,985.0 ,977.2 ,15.3 ,10.9 ,4.2 ,3.3 
27,2019-01-29 00:00:00,09,24,23:40,13:10,06:50,,6367B,0.0 ,983.0 ,976.6 ,20.8 ,17.5 ,9.7 ,4.7 
99,2019-01-15 00:00:00,10,05,Varias,12:30,05:50,0.0,6293X,0.0 ,1021.4 ,1018.6 ,10.3 ,17.7 ,5.6 ,4.4 
27,2019-01-29 00:00:00,02,18,16:40,11:40,07:40,0.0,6293X,0.0 ,1017.4 ,1010.4 ,19.2 ,18.6 ,7.6 ,5.8 
28,2019-01-22 00:00:00,00,Varias,23:20,15:20,07:30,0.0,6293X, ,1020.4 ,1012.9 ,12.8 ,14.8 ,4.2 ,1.9 
20,2019-01-08 00:00:00,09,24,15:00,13:50,03:20,,6367B,0.0 ,995.3 ,986.3 ,5.3 ,18.5 ,1.0 ,0.6 
21,2019-01-01 00:00:00,09,24,13:40,11:50,07:10,,6367B,0.0 ,996.5 ,993.0 ,6.9 ,21.2 ,1.4 ,0.8 
20,2019-01-08 00:00:00,10,24,23:30,15:00,08:00,,7096B,0.0 ,958.9 ,952.0 ,7.2 ,15.2 ,0.7 ,1.7 
25,2019-01-01 00:00:00,10,15,18:00,14:20,00:50,,7096B,0.0 ,960.5 ,958.0 ,6.7 ,18.9 ,3.7 ,2.8 
30,2019-01-29 00:00:00,09,20,22:50,16:20,05:00,2.4,8050X,0.0 ,1014.0 ,1006.8 ,16.1 ,17.3 ,11.2 ,2.8 
15,2019-01-29 00:00:00,02,18,21:50,12:50,04:50,,7096B,0.0 ,946.8 ,940.4 ,18.9 ,13.9 ,6.2 ,5.3 
22,2019-01-22 00:00:00,00,24,14:20,13:40,03:30,,7096B,0.0 ,949.3 ,941.2 ,13.6 ,9.7 ,1.4 ,5.8 
26,2019-01-15 00:00:00,10,16,03:30,15:00,07:50,,7096B,0.0 ,951.8 ,949.4 ,5.3 ,14.9 ,2.8 ,1.4 
30,2019-01-22 00:00:00,00,24,19:10,15:00,07:20,4.0,8050X,0.0 ,1017.6 ,1007.5 ,13.6 ,14.0 ,1.1 ,2.8 
,2019-01-08 00:00:00,10,24,,12:00,08:00,0.0,6293X, ,1030.0 ,1023.9 , ,16.6 ,5.6 , 
99,2019-01-29 00:00:00,00,24,Varias,14:17,05:11,3.3,8019,0.0 ,1012.3 ,997.4 ,13.9 ,18.7 ,11.0 ,4.7 
28,2019-01-29 00:00:00,08,18,17:10,14:20,07:10,2.7,8025,0.0 ,1006.5 ,999.2 ,14.7 ,18.5 ,10.4 ,3.1 
99,2019-01-08 00:00:00,Varias,24,Varias,13:27,07:15,8.9,8019,0.0 ,1026.7 ,1017.4 ,7.2 ,16.2 ,6.0 ,3.3 
11,2019-01-15 00:00:00,Varias,04,Varias,10:51,06:20,8.6,8019,0.0 ,1019.2 ,1016.6 ,5.8 ,16.6 ,6.3 ,1.9 
