dirViento,fecha,horaPresMax,horaPresMin,horaRachaMax,horaTempMax,horaTempMin,horasSol,indicativo,precipitacion,presMax,presMin,rachaMax,tempMax,tempMin,velMedia
04,2018-02-06 00:00:00,23,00,00:40,15:50,07:10,5.8,2539,0.0 ,916.4 ,913.8 ,16.1 ,3.5 ,-5.4 ,3.1 
25,2018-03-13 00:00:00,00,04,14:40,13:30,Varias,2.8,2539,1.2 ,918.1 ,915.4 ,12.8 ,11.8 ,4.1 ,4.2 
03,2018-02-20 00:00:00,10,24,14:05,14:10,05:20,6.8,2539,0.0 ,923.7 ,920.7 ,10.8 ,12.0 ,-0.3 ,3.9 
03,2018-03-20 00:00:00,23,00,20:30,14:10,01:20,5.3,2539,0.0 ,927.9 ,913.2 ,14.4 ,7.4 ,-1.0 ,6.1 
24,2018-02-13 00:00:00,00,Varias,13:10,23:59,02:10,0.0,2539,3.3 ,921.9 ,917.7 ,17.5 ,5.8 ,-4.8 ,9.2 
06,2018-01-30 00:00:00,00,18,00:10,15:50,06:00,9.0,2539,0.0 ,932.6 ,927.7 ,6.1 ,12.5 ,-1.8 ,1.4 
27,2018-03-06 00:00:00,24,Varias,12:05,15:10,23:59,7.2,2539,0.2 ,908.3 ,901.0 ,16.1 ,8.4 ,-0.6 ,9.2 
19,2018-01-09 00:00:00,24,16,16:20,23:59,01:20,0.0,2539,4.5 ,917.7 ,915.7 ,8.3 ,2.2 ,-6.0 ,4.2 
05,2018-02-27 00:00:00,00,24,02:05,15:50,06:50,4.4,2539,18.1 ,909.4 ,902.1 ,12.5 ,3.4 ,-5.9 ,4.2 
26,2018-01-02 00:00:00,11,05,12:10,22:20,05:10,0.0,2539,0.0 ,933.5 ,931.4 ,15.0 ,10.4 ,4.5 ,8.3 
30,2019-01-01 00:00:00,10,05,18:00,14:10,07:30,8.7,2539,0.0 ,934.4 ,932.3 ,5.6 ,12.7 ,-3.5 ,1.7 
27,2018-11-06 00:00:00,11,00,00:40,23:10,03:30,0.0,2539,3.5 ,914.7 ,910.0 ,15.6 ,8.9 ,3.9 ,5.8 
22,2018-10-30 00:00:00,00,15,00:50,14:30,06:10,0.0,2539,10.2 ,905.4 ,902.1 ,9.7 ,8.4 ,3.2 ,4.2 
35,2018-01-23 00:00:00,10,24,03:20,16:05,01:50,0.0,2539,0.0 ,932.5 ,930.4 ,4.2 ,7.0 ,-1.3 ,1.4 
26,2018-01-16 00:00:00,11,05,16:40,15:20,02:40,0.0,2539,0.0 ,930.1 ,927.5 ,13.3 ,9.7 ,2.5 ,8.6 
