altitud,estacion,finDatos,indicativo,inicioDatos,latitud,longitud,provincia
200,"CEUTA, MONTE HACHO",1986-12-31 00:00:00,5000A,1935-01-01 00:00:00,355344N,051732W,CEUTA
111,VINARÒS,2019-04-01 00:00:00,8523X,1991-01-16 00:00:00,403315N,002547E,CASTELLON
1131,VILLAFRANCA DEL CID/VILLAFRANCA,2019-04-01 00:00:00,8489X,2009-01-25 00:00:00,402600N,001521W,CASTELLON
25,CASTELLÓN DE LA PLANA,1975-12-31 00:00:00,8501,1920-01-01 00:00:00,395920N,000224W,CASTELLON
420,ZUMARRAGA,2019-04-01 00:00:00,1037Y,2007-12-19 00:00:00,430448N,021903W,GIPUZKOA
28,ZUMAIA,2019-04-01 00:00:00,1041A,1997-04-01 00:00:00,431808N,021504W,GIPUZKOA
4,SAN SEBASTIÁN AEROPUERTO,2019-04-01 00:00:00,1014A,2011-11-01 00:00:00,432125N,014732W,GIPUZKOA
251,"DONOSTIA/SAN SEBASTIÁN, IGUELDO",2019-04-01 00:00:00,1024E,1928-01-01 00:00:00,431823N,020228W,GIPUZKOA
4,"HONDARRIBIA, MALKARROA",2019-04-01 00:00:00,1014,1955-08-18 00:00:00,432125N,014732W,GIPUZKOA
119,ELGOIBAR,2019-04-01 00:00:00,1050J,1997-04-01 00:00:00,431234N,022448W,GIPUZKOA
804,VISO DEL MARQUÉS,2019-04-01 00:00:00,4148,1964-01-01 00:00:00,383105N,033400W,CIUDAD REAL
444,VALENCIA DE ALCÁNTARA,2019-04-01 00:00:00,3576X,1996-08-01 00:00:00,392453N,071352W,CACERES
503,TRUJILLO,2019-04-01 00:00:00,3463X,2003-02-06 00:00:00,392857N,055115W,CACERES
790,ARANDA DE DUERO,2019-04-01 00:00:00,2117D,2002-04-16 00:00:00,413957N,034434W,BURGOS
1080,PALACIOS DE LA SIERRA,2019-03-31 00:00:00,2298,1934-02-01 00:00:00,415735N,030754W,BURGOS
580,MEDINA DE POMAR,2019-04-01 00:00:00,9051,1949-09-01 00:00:00,425512N,032858W,BURGOS
820,BELORADO,2019-04-01 00:00:00,9111,1989-04-18 00:00:00,422516N,031013W,BURGOS
846,VALLADOLID AEROPUERTO,2019-04-01 00:00:00,2539,1936-11-01 00:00:00,414243N,045120W,VALLADOLID
891,BURGOS AEROPUERTO,2019-04-01 00:00:00,2331,1943-08-01 00:00:00,422125N,033713W,BURGOS
40,SANTA SUSANNA,2019-04-01 00:00:00,0255B,2009-08-25 00:00:00,413903N,024149E,BARCELONA
415,PLASENCIA,2019-04-01 00:00:00,3519X,1999-03-24 00:00:00,400235N,060509W,CACERES
74,ARENYS DE MAR,2019-04-01 00:00:00,0252D,1981-01-01 00:00:00,413515N,023224E,BARCELONA
146,SABADELL AEROPUERTO,2016-04-20 00:00:00,0229I,1973-12-01 00:00:00,413125N,020611E,BARCELONA
291,MANRESA,2019-04-01 00:00:00,0149X,2005-01-14 00:00:00,414312N,015025E,BARCELONA
6,BARCELONA,2019-04-01 00:00:00,0201D,1994-04-20 00:00:00,412326N,021200E,BARCELONA
656,ZAMORA,2019-04-01 00:00:00,2614,1920-02-01 00:00:00,413056N,054407W,ZAMORA
4,BARCELONA AEROPUERTO,2019-04-01 00:00:00,0076,1924-03-01 00:00:00,411734N,020412E,BARCELONA
408,"BARCELONA, FABRA",2019-03-31 00:00:00,0200E,1920-01-01 00:00:00,412506N,020727E,BARCELONA
850,VILLARDECIERVOS,2019-04-01 00:00:00,2775X,1988-12-17 00:00:00,415629N,061647W,ZAMORA
715,BENAVENTE,2019-04-01 00:00:00,2755X,1988-12-17 00:00:00,420039N,054000W,ZAMORA
90,PUNTA GALEA,2019-04-01 00:00:00,1059X,2005-02-09 00:00:00,432230N,030118W,BIZKAIA
93,MACHICHACO,2019-04-01 00:00:00,1057B,1997-04-01 00:00:00,432714N,024510W,BIZKAIA
735,VALLADOLID,2019-04-01 00:00:00,2422,1973-10-01 00:00:00,413827N,044516W,VALLADOLID
208,GÜEÑES,2019-04-01 00:00:00,1078I,1997-04-01 00:00:00,431212N,030617W,BIZKAIA
740,OLMEDO,2017-12-10 00:00:00,2503X,1991-09-12 00:00:00,411933N,044113W,VALLADOLID
42,BILBAO AEROPUERTO,2019-04-01 00:00:00,1082,1947-03-01 00:00:00,431753N,025423W,BIZKAIA
12,LEKEITIO,2019-04-01 00:00:00,1055B,1997-04-01 00:00:00,432237N,023037W,BIZKAIA
269,NAVALMORAL DE LA MATA,2019-04-01 00:00:00,3434X,2001-09-22 00:00:00,395645N,053457W,CACERES
